Key,Text_EN,Text_KO,비고
frozenlayer.magazinetext,0,0,
holder.magazinetext,0,0,
itembtn.txtlock,Lv.{n},Lv.{n},
newfeature.textunlock,Unlocked!,잠금 해제!,
newfeature.textname.HiddenDartBox,Hidden Dart Box,숨겨진 다트 상자,레벨 11 등장
newfeature.textdesctiption.HiddenDartBox,Bring them to the front\nto reveal!,앞에 도달하면 모습이 드러나요!,
newfeature.textname.LinkedDartBox,Linked Dart Box,연결된 다트 상자,레벨 21 등장
newfeature.textdesctiption.LinkedDartBox,They all move together!,모두 함께 움직여요!,
newfeature.textname.Wooden Board,Wooden Board,나무 보드,레벨 31 등장
newfeature.textdesctiption.Wooden Board,Shoot the same color\nto break it!,같은 색을 쏘면 부술 수 있어요!,
newfeature.textname.GlassPipe,Glass Pipe,투명 파이프,레벨 41 등장
newfeature.textdesctiption.GlassPipe,Tap nearby boxes\nto release a new one!,근처 상자를 탭하면 새 상자가 나와요!,
newfeature.textname.Barricade,Barricade,바리케이드,레벨 61 등장
newfeature.textdesctiption.Barricade,Shoot the same color\nto clear the path!,같은 색을 쏘면 길이 열려요!,
newfeature.textname.HiddenBalloon,HiddenBalloon,숨겨진 풍선,레벨 81 등장
newfeature.textdesctiption.HiddenBalloon,Pop nearby balloons\nto reveal!,근처 풍선을 터뜨리면 모습이 드러나요!,
newfeature.textname.IronWall,Iron Wall,철벽,레벨 101 등장
newfeature.textdesctiption.IronWall,It blocks incoming darts!,다트가 지나가는 길을 막아요!,
newfeature.textname.Pipe,Pipe,파이프,레벨 121 등장
newfeature.textdesctiption.Pipe,Tap nearby boxes\nto release a mystery one!,근처 상자를 탭하면 새 상자가 나와요!,
newfeature.textname.flextube,Flex Tube,주름 튜브,레벨 141 등장
newfeature.textdesctiption.flextube,Shoot the same color\nto shrink the tube!,같은 색을 쏘면 튜브가 줄어들어요!,
newfeature.textname.TargetBox,Target Box,과녁 상자,레벨 161 등장
newfeature.textdesctiption.TargetBox,Shoot the same colors\nto break it all!,과녁과 같은 색을 쏘면 부술 수 있어요!,
newfeature.textname.Ice,Ice,얼음,레벨 201 등장
newfeature.textdesctiption.Ice,Pop any balloon\nto shatter the ice!,아무 풍선이나 터뜨리면 얼음이 깨져요!,
newfeature.textname.FrozenDartBox,Frozen Dart Box,얼음 다트 상자,레벨 241 등장
newfeature.textdesctiption.FrozenDartBox,Tap other boxes\nto shatter the ice!,다른 상자를 탭하면 얼음이 깨져요!,
popupcontinue.costlabel,Cost:,비용:,
popupcontinue.txtcontinue,Play On,이어하기,
popupcontinue.txtcontinuetitle,Continue?,이어서 할까요?,
popupcontinue.txtdescription,You will lose a life!,생명을 잃게 돼요!,
popupcontinue.txtdescription.multiplier,You will lose your x{n} multiplier!,x{n} 배수를 잃게 돼요!,
popupdescription.txtdescription,TxtDescriptionTxtDescriptionTxtDescriptionTxtDescriptionTxtDescription,텍스트 설명 텍스트 설명 텍스트 설명 텍스트 설명,
popupdescription.txtsingleoutline,"Resume
",계속,
popuperror.txtdescription,Item DescriptionItem DescriptionItem Description,아이템 설명 아이템 설명 아이템 설명,
popupfail01.continuetitle,Continue?,이어서 할까요?,
popupfail01.costlabel,Cost:,비용:,
popupfail01.costtext,FREE,무료,
popupfail01.txtcontinue,Play On,이어하기,
popupfail02.txtfail,Level Failed!,레벨 실패!,
popupmorelive.txtbtnsingle,"Resume
",계속,
popupmorelive.txtdescription,Next life in,다음 생명까지,
popupmorelive.txtfree,Watch,시청,
popupmorelive.txtlife,{n},{n},
popupmorelive.txtsingleoutline,"Resume
",계속,
popupmorelive.txttitle,More Lives,생명을 추가하세요,
popupnoads.txtdescription1,Remove forced\n<color=#FFD700>ads forever!,강제 광고를\n<color=#FFD700>영원히 없애요!,
popupnoads.txtdescription2,Keep optional\n<color=#FFD700>bonus ads!,보너스 광고는\n<color=#FFD700>그대로 볼 수 있어요!,
popupprofile.txtbtntapavatar,Avatar,아바타,
popupprofile.txtbtntapavataroutline,Avatar,아바타,
popupprofile.txtbtntapframe,Frame,프레임,
popupprofile.txtbtntapname,Name,이름,
popupprofile.txtbtntapnameoutline,Name,이름,
popupprofile.txtbtntaptoken,Token,토큰,
popupprofile.txtbtntaptokenoutline,Token,토큰,
popupprofile.txttitle,Profile,프로필,
popupprofile.txttitleoutline,Profile,프로필,
popupresult.txtbtnsingle,Next,다음,
popup.txtbtnbuy,Buy,구매,
popupwinningstreak.txtbtnsingle,Play,플레이,
popupwinningstreak.txtdescription,"Win levels to collect <color=#FFD700> Flames! </color>\nLonger streak, more rewards!",레벨을 클리어하고 <color=#FFD700>불꽃</color>을 모으세요!\n연승이 길수록 보상도 커져요!,
