[mcp] listening on :7900 → forwarding to http://localhost:7901
[mcp] auth: enabled
[mcp] POST ping → 200 (20ms)
[mcp] POST inspect.scene.list → 200 (23ms)
[mcp] POST inspect.compilation.status → 200 (9ms)
[mcp] POST inspect.compilation.status → 200 (6ms)
[mcp] POST inspect.compilation.status → 200 (5ms)
[mcp] POST inspect.compilation.status → 200 (5ms)
[mcp] POST inspect.compilation.status → 200 (5ms)
[mcp] POST inspect.compilation.status → 200 (5ms)
[mcp] POST inspect.compilation.status → 200 (6ms)
[mcp] POST inspect.compilation.status → 200 (5ms)
[mcp] POST inspect.compilation.status → 200 (4ms)
[mcp] POST inspect.compilation.status → 200 (4ms)
[mcp] POST inspect.compilation.status → 200 (4ms)
[mcp] POST inspect.compilation.status → 200 (2ms)
[mcp] POST inspect.compilation.status → 200 (3ms)
[mcp] POST inspect.compilation.status → 200 (5ms)
[mcp] POST inspect.compilation.status → 200 (3ms)
[mcp] POST inspect.compilation.status → 200 (3ms)
[mcp] POST inspect.compilation.status → 200 (3ms)
[mcp] POST inspect.compilation.status → 200 (4ms)
[mcp] POST inspect.compilation.status → 200 (3ms)
[mcp] POST inspect.compilation.status → 200 (4ms)
[mcp] POST inspect.compilation.status → 200 (4ms)
[mcp] POST inspect.compilation.status → 200 (4ms)
[mcp] POST inspect.compilation.status → 200 (4ms)
[mcp] POST inspect.compilation.status → 200 (4ms)
[mcp] POST inspect.compilation.status → 200 (4ms)
[mcp] POST inspect.compilation.status → 200 (4ms)
[mcp] POST inspect.compilation.status → 200 (3ms)
[mcp] POST inspect.compilation.status → 200 (4ms)
[mcp] POST inspect.compilation.status → 200 (4ms)
[mcp] POST inspect.compilation.status → 200 (2ms)
[mcp] POST inspect.compilation.status → 200 (4ms)
[mcp] POST inspect.compilation.status → 200 (4ms)
[mcp] POST inspect.compilation.status → 200 (3ms)
[mcp] POST inspect.compilation.status → 200 (3ms)
[mcp] POST inspect.compilation.status → 200 (3ms)
[mcp] POST inspect.compilation.status → 200 (3ms)
[mcp] POST inspect.compilation.status → 200 (3ms)
[mcp] POST inspect.compilation.status → 200 (1ms)
[mcp] POST inspect.compilation.status → 200 (3ms)
[mcp] POST inspect.compilation.status → 200 (4ms)
[mcp] POST inspect.compilation.status → 200 (4ms)
[mcp] POST inspect.compilation.status → 200 (3ms)
[mcp] POST inspect.compilation.status → 200 (3ms)
[mcp] POST inspect.compilation.status → 200 (4ms)
[mcp] POST inspect.compilation.status → 200 (3ms)
[mcp] POST inspect.compilation.status → 200 (3ms)
[mcp] POST inspect.compilation.status → 200 (4ms)
[mcp] POST inspect.compilation.status → 200 (4ms)
[mcp] POST inspect.compilation.status → 200 (4ms)
[mcp] POST inspect.compilation.status → 200 (4ms)
[mcp] POST inspect.compilation.status → 200 (3ms)
[mcp] POST inspect.compilation.status → 200 (4ms)
[mcp] POST inspect.compilation.status → 200 (4ms)
[mcp] POST inspect.compilation.status → 200 (4ms)
[mcp] POST inspect.compilation.status → 200 (1ms)
[mcp] POST inspect.compilation.status → 200 (3ms)
[mcp] POST inspect.compilation.status → 200 (3ms)
[mcp] POST inspect.compilation.status → 200 (3ms)
[mcp] POST inspect.compilation.status → 200 (4ms)
[mcp] POST inspect.compilation.status → 200 (4ms)
[mcp] POST inspect.compilation.status → 200 (3ms)
[mcp] POST inspect.compilation.status → 200 (4ms)
[mcp] POST inspect.compilation.status → 200 (4ms)
[mcp] POST inspect.compilation.status → 200 (4ms)
[mcp] POST inspect.compilation.status → 200 (4ms)
[mcp] POST inspect.compilation.status → 200 (4ms)
[mcp] POST inspect.compilation.status → 200 (4ms)
[mcp] POST inspect.compilation.status → 200 (4ms)
[mcp] POST inspect.compilation.status → 200 (4ms)
[mcp] POST inspect.compilation.status → 200 (4ms)
[mcp] POST inspect.compilation.status → 200 (3ms)
[mcp] POST inspect.compilation.status → 200 (3ms)
[mcp] POST inspect.compilation.status → 200 (4ms)
[mcp] POST inspect.compilation.status → 200 (3ms)
[mcp] POST inspect.compilation.status → 200 (3ms)
[mcp] POST inspect.compilation.status → 200 (3ms)
[mcp] POST inspect.compilation.status → 200 (3ms)
[mcp] POST inspect.compilation.status → 200 (3ms)
[mcp] POST inspect.compilation.status → 200 (3ms)
[mcp] POST inspect.compilation.status → 200 (3ms)
[mcp] POST inspect.compilation.status → 200 (3ms)
[mcp] POST inspect.compilation.status → 200 (3ms)
